státi(se)	stá-ti-(se)
stíhání	stíh-á-n-í
rozšvihání	roz-švih-á-ní
selhání	se-lh-á-n-í
pohani	po-han-i
otrhaní	o-trh-a-n-í
indiáni	indián-i
posečkání	po-se-čk-á-n-í
čekání	ček-á-n-í
oblékání	ob-lék-á-n-í
přiklekání	při-klek-á-n-í
štěkání	štěk-á-n-í
podnikání	pod-nik-á-n-í
pronikání	pro-nik-á-n-í
vznikání	vz-nik-á-n-í
nanaříkání	na-na-řík-á-n-í
odříkání	od-řík-á-n-í
vypejkání	vy-pejk-á-n-í
pokání	po-ká-n-í
strkání	strk-á-n-í
pleskání	plesk-á-n-í
získání	získ-á-n-í
nablýskání	na-blýsk-á-n-í
stýskání	s-týsk-á-n-í
tkání	tk-á-n-í
setkání	se-tk-á-n-í
protkání	pro-tk-á-n-í
štkání	štk-á-n-í
zaštkání	za-štk-á-n-í
utkání	u-tk-á-n-í
trojutkání	tr-oj-u-tk-á-n-í
dvojutkání	dv-oj-u-tk-á-n-í
zamrňoukání	za-mrňouk-á-n-í
dlani	dlan-i
dlaní	dlan-í
zadudlání	za-dudl-á-n-í
dělání	děl-á-n-í
udělání	u-děl-á-n-í
vzdělání	vz-děl-á-n-í
vysílání	vy-síl-á-n-í
naklání	na-klán-í
přiklání	při-klán-í
dřevoklání	dřev-o-klá-n-í
voláni	vol-á-n-i
volání	vol-á-n-í
odvolání	od-vol-á-n-í
přivolání	při-vol-á-n-í
povolání	po-vol-á-n-í
kaplani	kaplan-i
zaslání	za-sl-á-n-í
rozeslání	roze-sl-á-n-í
vyslání	vy-sl-á-n-í
klamání	klam-á-n-í
zklamání	z-klam-á-n-í
čintamani	čintaman-i
gentlemani	gentle-man-i
najímáni	na-jím-á-n-i
přijímání	při-jím-á-n-í
pojímání	po-jím-á-n-í
vnímání	v-ním-á-n-í
gólmani	gól-man-i
tatrmani	tatrman-i
zkoumání	z-koum-á-n-í
sebezkoumání	seb-e-zkoum-án-í
nadýmání	na-dým-á-n-í
jednání	jedn-á-n-í
pojednání	po-jedn-á-n-í
projednání	pro-jedn-á-n-í
požehnání	po-žehn-á-n-í
počínání	po-čín-á-n-í
přepínání	pře-pín-á-n-í
konání	kon-á-n-í
zaměstnání	za-měst-n-á-n-í
chutnání	chut-n-á-n-í
přirovnání	při-rovn-á-n-í
porovnání	po-rovn-á-n-í
srovnání	s-rovn-á-n-í
vyrovnání	vy-rov-n-á-n-í
přiznání	při-zn-á-n-í
poznání	po-zn-á-n-í
uznání	u-zn-á-n-í
páni	pán-i
paní	pan-í
protikampani	proti-kampan-i
spaní	sp-a-n-í
dupání	dup-á-n-í
koupání	koup-á-n-í
šoupání	šoup-á-n-í
raní	ran-í
brání	brán-í
nebrání	ne-brán-í
rozebrání	roze-br-á-n-í
trnkobraní	trnk-o-br-an-í
borůvkobraní	bor-ůvk-o-br-a-n-í
vinobraní	vin-o-br-a-n-í
dýňobraní	dýň-o-br-a-n-í
dřevobraní	dřev-o-br-a-n-í
pivobraní	piv-o-br-a-n-í
zbraní	z-bran-í
hraní	hran-í
chrání	chrán-í
sehrání	se-hrá-n-í
vyhrání	vy-hrá-n-í
vybírání	vy-bír-á-n-í
zírání	zír-á-n-í
nazírání	na-zír-á-n-í
kormoráni	kormorán-i
praní	pr-a-n-í
doprání	do-pr-á-n-í
pátrání	pátr-á-n-í
větrání	větr-á-n-í
vyvětrání	vy-větr-á-n-í
straní	stran-í
vraní	vran-í
havrani	havran-i
týrání	týr-á-n-í
zrání	zrá-n-í
zažraní	za-žr-a-n-í
přání	přá-n-í
psaní	ps-a-n-í
satani	satan-i
obmetání	ob-met-á-n-í
prometání	pro-met-á-n-í
vmítání	v-mít-á-n-í
zmítání	z-mít-á-n-í
uvítání	u-vít-á-n-í
zašepotání	za-šepot-á-n-í
zacupotání	za-cup-ot-á-n-í
reptání	rept-á-n-í
vrtání	vrt-á-n-í
zastání	za-stá-n-í
dostání	do-stá-n-í
ustání	u-stá-n-í
povstání	po-v-st-á-n-í
dáváni	d-á-v-á-n-i
vydávání	vy-d-á-v-á-n-í
očekávání	o-ček-á-v-á-n-í
získávání	získ-á-v-á-n-í
vhoukávání	v-houk-á-v-á-n-í
zatykávání	za-tyk-á-v-á-n-í
předělávání	pře-děl-á-v-á-n-í
vzdělávání	vz-děl-á-v-á-n-í
svolávání	s-vol-á-v-á-n-í
proklímávání	pro-klím-á-v-á-n-í
předobjednávání	před-ob-jedn-á-v-á-n-í
projednávání	pro-jedn-á-v-á-n-í
vyjednávání	vy-jedn-á-v-á-n-í
vykonávání	vy-kon-á-v-á-n-í
srovnávání	s-rovn-á-v-á-n-í
poznávání	po-zn-á-v-á-n-í
uznávání	u-zn-á-v-á-n-í
zneuznávání	z-ne-u-zn-á-v-á-n-í
hrávání	hrá-v-á-n-í
pročítávání	pro-čít-á-v-á-n-í
zachropotávání	za-chrop-ot-á-v-á-n-í
slejvávání	s-lej-v-á-v-á-n-í
napajcovávání	na-pajc-ová-v-á-n-í
profinancovávání	pro-financ-ová-v-á-n-í
souřaďovávání	sou-řaď-ová-v-á-n-í
vyšachovávání	vy-šach-ová-v-á-n-í
onanovávání	onan-ová-v-á-n-í
reemigrovávání	re-e-migr-ová-v-á-n-í
nasekýrovávání	na-sekýr-ová-v-á-n-í
přeputovávání	pře-put-ová-v-á-n-í
zjalovovávání	z-jalov-ová-v-á-n-í
komunizovávání	komun-izová-v-á-n-í
vyluzovávání	vy-luz-ová-v-á-n-í
odřezávání	od-řez-á-v-á-n-í
odlévání	od-lév-á-n-í
krveprolévání	krv-e-pro-lév-á-n-í
odívání	o-dív-á-n-í
svíjívání	svíj-í-v-á-n-í
doznívání	do-zn-í-v-á-n-í
úplatkařívání	ú-plat-k-ař-í-v-á-n-í
skřivani	skřiv-an-i
uctívání	u-ct-í-v-á-n-í
užívání	u-ží-v-á-n-í
používání	po-u-ží-v-á-n-í
využívání	vy-u-ží-v-á-n-í
shrabování	s-hrab-ová-n-í
vyhrabování	vy-hrab-ová-n-í
zásobování	zá-sob-ová-n-í
pracování	prac-ová-n-í
vypracování	vy-prac-ová-n-í
zpracování	z-prac-ová-n-í
financování	financ-ová-n-í
překrucování	pře-kruc-ová-n-í
pokračování	po-krač-ová-n-í
osvědčování	o-s-věd-č-ová-n-í
přikrčování	při-krč-ová-n-í
určování	u-rč-ová-n-í
vyučování	vy-uč-ová-n-í
sledování	sled-ová-n-í
zagajdování	za-gajd-ová-n-í
obchodování	ob-chod-ová-n-í
rozhodování	roz-hod-ová-n-í
budování	bud-ová-n-í
vybudování	vy-bud-ová-n-í
prostudování	pro-stud-ová-n-í
filozofování	fil-o-zof-ová-n-í
fungování	fung-ová-n-í
odlogování	od-log-ová-n-í
zasahování	za-sah-ová-n-í
chování	chov-á-n-í
zachování	za-chov-á-n-í
schovaní	s-chov-a-n-í
uchování	u-chov-á-n-í
vychování	vy-chov-á-n-í
iniciování	inici-ová-n-í
uhajování	u-haj-ová-n-í
opakování	opak-ová-n-í
zasmyčkování	za-smyč-k-ová-n-í
řádkování	řád-k-ová-n-í
zprostředkování	z-pro-střed-k-ová-n-í
kvalifikovaní	kvali-fik-ova-n-í
doštrikování	do-štrik-ová-n-í
nabatikování	na-batik-ová-n-í
fáborkování	fábor-k-ová-n-í
pískování	písk-ová-n-í
podpískování	pod-písk-ová-n-í
nařízkování	na-říz-k-ová-n-í
přeškálování	pře-škál-ová-n-í
zpomalování	z-pomal-ová-n-í
kralování	kral-ová-n-í
schvalování	s-chval-ová-n-í
sdělování	s-děl-ová-n-í
zakyselování	za-kys-e-l-ová-n-í
nakladatelování	na-klad-a-tel-ová-n-í
urychlování	u-rychl-ová-n-í
milování	mil-ová-n-í
zaškolování	za-škol-ová-n-í
kontrolování	kontrol-ová-n-í
zesvětlování	ze-svět-l-ová-n-í
formování	form-ová-n-í
uniformovaní	uni-form-ova-n-í
rozumování	roz-um-ová-n-í
šikanování	šikan-ová-n-í
plánování	plán-ová-n-í
uskutečňování	u-skuteč-ň-ová-n-í
zprůchodňování	z-prů-chod-ň-ová-n-í
jmenování	jmen-ová-n-í
definování	de-fin-ová-n-í
vyplňování	vy-plň-ová-n-í
oslňování	o-slň-ová-n-í
abonování	abon-ová-n-í
stupňování	stup-ň-ová-n-í
dotěsňování	do-těsň-ová-n-í
uplatňování	u-plat-ň-ová-n-í
zmonolitňování	z-mono-lit-ň-ová-n-í
tepování	tep-ová-n-í
šopování	šop-ová-n-í
vystupování	vy-stup-ová-n-í
doštupování	do-štup-ová-n-í
očarování	o-čar-ová-n-í
varování	var-ová-n-í
úvěrování	ú-věr-ová-n-í
producírování	pro-duc-ír-ová-n-í
kopírování	kop-ír-ová-n-í
cukrování	cukr-ová-n-í
pozorování	po-zor-ová-n-í
lakýrování	lak-ýr-ová-n-í
posvařování	po-s-vař-ová-n-í
rozšiřování	roz-šiř-ová-n-í
vyšetřování	vy-šetř-ová-n-í
hlasování	hlas-ová-n-í
sepisování	se-pis-ová-n-í
slosování	s-los-ová-n-í
ztišování	z-tiš-ová-n-í
falšování	falš-ová-n-í
zfalšování	z-falš-ová-n-í
zlepšování	z-lep-š-ová-n-í
porušování	po-ruš-ová-n-í
zvyšování	z-vyš-ová-n-í
zapamatování	za-pamat-ová-n-í
konstatování	kon-stat-ová-n-í
účtování	ú-čt-ová-n-í
rozúčtování	roz-ú-čt-ová-n-í
obětování	obět-ová-n-í
zlicitování	z-licit-ová-n-í
slitování	s-lit-ová-n-í
cestování	cest-ová-n-í
investování	in-vest-ová-n-í
znečisťování	z-ne-čisť-ová-n-í
hostování	host-ová-n-í
dosalutování	do-salut-ová-n-í
ubytování	u-by-t-ová-n-í
poskytování	po-skyt-ová-n-í
vyplavování	vy-plav-ová-n-í
vypravování	vy-prav-ová-n-í
stravování	s-trav-ová-n-í
nastavování	na-stav-ová-n-í
vystavování	vy-stav-ová-n-í
stanovování	stanov-ová-n-í
zakonzervování	za-konzerv-ová-n-í
dokazování	do-kaz-ová-n-í
prosazování	pro-saz-ová-n-í
navazování	na-vaz-ová-n-í
omezování	o-mez-ová-n-í
zmoralizování	z-moral-iz-ová-n-í
organizování	organ-iz-ová-n-í
zvalorizování	z-valor-izová-n-í
vyřizování	vy-řiz-ová-n-í
relativizování	relat-iv-izová-n-í
provozování	pro-voz-ová-n-í
pokonverzování	po-kon-verz-ová-n-í
potvrzování	po-tvrz-ová-n-í
posuzování	po-suz-ová-n-í
angažování	angaž-ová-n-í
sebeobnažování	seb-e-ob-naž-ová-n-í
zvažování	z-važ-ová-n-í
snižování	s-niž-ová-n-í
dodržování	do-drž-ová-n-í
trvání	trv-á-n-í
přemlouvání	pře-mlouv-á-n-í
zakrývání	za-krýv-á-n-í
pozváni	po-zv-á-n-i
pozvání	po-zv-á-n-í
přikázání	při-káz-á-n-í
mazání	maz-á-n-í
navázání	na-váz-á-n-í
rozvázání	roz-váz-á-n-í
vynalézání	vy-na-léz-á-n-í
řezání	řez-á-n-í
dřevořezání	dřev-o-řez-á-n-í
mazzani	mazzani
hradební	hrad-eb-n-í
hudební	hud-eb-n-í
volební	vol-eb-n-í
předvolební	před-vol-eb-n-í
pohřební	po-hřeb-n-í
potřební	po-třeb-n-í
spotřební	s-po-třeb-n-í
zkušební	z-kuš-eb-n-í
platební	plat-eb-n-í
svatební	svateb-n-í
stavební	sta-veb-n-í
zpětnovazební	zpět-n-o-vaz-eb-n-í
služební	služ-eb-n-í
xenofobní	xeno-fob-n-í
starobní	star-ob-n-í
výrobní	vý-rob-n-í
předvýrobní	před-vý-rob-n-í
technickovýrobní	techn-ic-k-o-vý-rob-n-í
osobní	osob-n-í
nadosobní	nad-osob-n-í
zubní	zub-n-í
obecní	obec-n-í
vnitroplicní	v-nitr-o-plic-n-í
zmocní	z-moc-n-í
nadační	nadač-n-í
rekreační	re-kre-ač-n-í
dedikační	dedik-ač-n-í
identifikační	identi-fik-ač-n-í
telekomunikační	tele-komun-ik-ač-n-í
inflační	in-flač-n-í
protiinflační	proti-in-flač-n-í
tepelněizolační	tepel-n-ě-izol-ač-n-í
formační	form-ač-n-í
informační	in-form-ač-n-í
vzduchofiltrační	vzduch-o-filtr-ač-n-í
registrační	registr-ač-n-í
lustrační	lustr-ač-n-í
meditační	medit-ač-n-í
transplantační	trans-plant-ač-n-í
orientační	orient-ač-n-í
reprezentační	re-prezent-ač-n-í
soběstační	sob-ě-stač-n-í
relaxační	relax-ač-n-í
normalizační	norm-al-iz-ač-n-í
postnormalizační	post-norm-al-iz-ač-n-í
biostabilizační	bio-stabil-iz-ač-n-í
mobilizační	mobil-iz-ač-n-í
organizační	organ-iz-ač-n-í
privatizační	privat-iz-ač-n-í
senzační	senzač-n-í
sorbční	sorbčn-í
vnitrolebeční	v-nitr-o-leb-eč-n-í
vděčni	v-děč-n-i
technotaneční	techn-o-taneč-n-í
sluneční	slun-eč-n-í
protisluneční	proti-slun-eč-n-í
čtvereční	čtver-eč-n-í
počáteční	po-čá-t-eč-n-í
páteční	pát-eč-n-í
zpáteční	zpát-eč-n-í
sváteční	svát-eč-n-í
předsváteční	před-svát-eč-n-í
uskuteční	u-skuteč-n-í
tradiční	trad-ič-n-í
netradiční	ne-trad-ič-n-í
kondiční	kondič-n-í
koaliční	koalič-n-í
opozičněkoaliční	opoz-ič-n-ě-koalič-n-í
klíční	klíč-n-í
pouliční	po-ulič-ní
zahraniční	za-hran-ič-n-í
silniční	sil-n-ič-n-í
železniční	želez-n-ič-n-í
říční	říč-n-í
příční	příčn-í
měsíční	měsíč-n-í
mnohaměsíční	mnoh-a-měsíč-n-í
několikaměsíční	ně-kolik-a-měsíč-n-í
sedmiměsíční	sedm-i-měsíč-n-í
osmiměsíční	osm-i-měsíč-n-í
tříměsíční	tř-í-měsíč-n-í
dvanáctiměsíční	dv-a-náct-i-měsíč-n-í
osmnáctiměsíční	osm-náct-i-měsíč-n-í
pětiměsíční	pět-i-měsíč-n-í
desetiměsíční	deset-i-měsíč-n-í
devítiměsíční	devít-i-měsíč-n-í
šestiměsíční	šest-i-měsíč-n-í
meziměsíční	mezi-měsíč-n-í
každoměsíční	každ-o-měsíč-n-í
jednoměsíční	jedn-o-měsíč-n-í
čtyřměsíční	čtyř-měsíč-n-í
dvouměsíční	dv-ou-měsíč-n-í
investiční	in-vest-ič-n-í
poloviční	pol-ovič-n-í
opoziční	opoz-ič-n-í
redakční	redakč-n-í
vnitroredakční	v-nitr-o-redakč-n-í
konfekční	kon-fekč-n-í
funkční	funkč-n-í
multifunkční	multi-funk-č-n-í
polyfunkční	poly-funkč-n-í
aukční	aukč-n-í
oxidoredukční	oxid-o-re-duk-č-n-í
produkční	pro-duk-č-n-í
reprodukční	re-pro-duk-č-n-í
mimoprodukční	mimo-pro-duk-č-n-í
vnitroalianční	v-nitr-o-alianč-n-í
bilanční	bilanč-n-í
finanční	finanč-n-í
distanční	dis-tanč-n-í
konkurenční	konkur-enč-n-í
existenční	exist-enč-n-í
vysokofrekvenční	vys-ok-o-frekvenč-n-í
nízkofrekvenční	níz-k-o-frekvenč-n-í
noční	noč-n-í
celonoční	cel-o-noč-n-í
roční	roč-n-í
meziroční	mezi-roč-n-í
každoroční	každ-o-roč-n-í
celoroční	cel-o-roč-n-í
jednoroční	jedn-o-roč-n-í
novoroční	nov-o-roč-n-í
výroční	vý-roč-n-í
potoční	po-toč-n-í
koncepční	koncepč-n-í
konskripční	kon-skrip-č-n-í
protikorupční	proti-korup-č-n-í
komerční	komerč-n-í
distribuční	dis-tribu-č-n-í
revoluční	revol-uč-n-í
záruční	zá-ruč-n-í
jednoruční	jedn-o-ruč-n-í
vlastnoruční	vlastn-o-ruč-n-í
restituční	re-stitu-č-n-í
dotyční	do-tyč-n-í
dni	dn-i
dní	dn-í
fádní	fád-n-í
nákladní	ná-klad-n-í
základní	zá-klad-n-í
pokladní	po-klad-n-í
vládní	vlád-n-í
protivládní	proti-vlád-n-í
mezivládní	mezi-vlád-n-í
stínovládní	stín-o-vlád-n-í
vnitrovládní	v-nitr-o-vlád-n-í
usnadní	u-snadn-í
západní	zá-pad-n-í
jihozápadní	jih-o-zá-pad-n-í
popadni	po-pad-n-i
náhradní	ná-hrad-n-í
estrádní	estrád-n-í
řádní	řád-n-í
zásadní	zá-sad-ní
dosavadní	do-s-av-ad-n-í
zadní	zad-n-í
předozadní	před-o-zad-n-í
žádní	žád-n-í
jedni	jedn-i
průhlední	prů-hled-n-í
nabíledni	nabíledni
poledni	pol-e-dn-i
polední	pol-e-dn-í
odpolední	od-pol-e-dn-í
poslední	po-sled-n-í
neposlední	ne-po-sled-n-í
přední	před-n-í
střední	střed-n-í
bezprostřední	bez-pro-střed-n-í
ústřední	ú-střed-ní
úřední	ú-řed-n-í
zdeúřední	zde-ú-řed-n-í
ouřední	ou-řed-n-í
sousední	sou-sed-n-í
všední	všedn-í
mimovědní	mimo-věd-n-í
zodpovědní	z-od-po-věd-n-í
spoluzodpovědni	spol-u-z-od-po-věd-n-i
výpovědní	vý-po-věd-n-í
invalidní	in-valid-n-í
solidní	solid-n-í
myeloidní	myel-oid-n-í
přídní	přídn-í
bétřídní	bé-tříd-n-í
prvotřídní	prv-o-tříd-n-í
vídni	vídn-i
svobodní	svobod-n-í
obchodní	ob-chod-n-í
velkoobchodní	vel-k-o-ob-chod-n-í
východní	vý-chod-n-í
předovýchodní	před-o-vý-chod-n-í
jihovýchodní	jih-o-vý-chod-n-í
blízkovýchodní	blízk-o-vý-chod-n-í
dálnovýchodní	dál-n-o-vý-chod-n-í
ctihodní	ct-i-hod-n-í
módní	mód-n-í
staromódní	star-o-mód-n-í
spodní	spod-n-í
národní	ná-rod-n-í
vícenárodní	více-ná-rod-n-í
mezinárodní	mezi-ná-rod-n-í
mnohonárodní	mnoh-o-ná-rod-n-í
křesťanskonárodní	křesť-an-sk-o-ná-rod-n-í
celonárodní	cel-o-ná-rod-n-í
jinonárodní	jin-o-ná-rod-n-í
prostonárodní	prost-o-ná-rod-n-í
sprostonárodní	sprost-o-ná-rod-n-í
přírodní	pří-rod-n-í
vodní	vod-ní
podvodní	pod-vod-n-í
tlakovodní	tlak-o-vod-n-í
sladkovodní	slad-k-o-vod-n-í
mělkovodní	mělk-o-vod-n-í
plynovodní	plyn-o-vod-n-í
úvodní	ú-vod-n-í
původní	pů-vod-n-í
standardní	standard-n-í
nestandardní	ne-standard-n-í
bastardní	bastard-n-í
hazardní	hazard-n-í
absurdní	absurd-n-í
soudní	soud-n-í
mimosoudní	mimo-soud-n-í
půdní	půd-n-í
studni	studn-i
jízdní	jízd-n-í
pozdní	pozd-n-í
oslabení	o-slab-en-í
zaslíbeni	za-s-líb-en-i
zásobení	zá-sob-en-í
působení	pů-sob-en-í
přizpůsobení	při-z-pů-sob-en-í
znovupohřbení	z-nov-u-po-hřb-en-í
placení	plac-en-í
zaplacení	za-plac-en-í
neplacení	ne-plac-en-í
doplacení	do-plac-en-í
splácení	s-plác-e-n-í
vracení	vrac-e-n-í
odvracení	od-vrac-e-n-í
znovuvysvěcení	z-nov-u-vy-svěc-en-í
nasvícení	na-svíc-en-í
přisvícení	při-svíc-en-í
ocení	o-cen-í
sjednocení	s-jedn-oc-en-í
hodnoceni	hod-n-oc-en-i
hodnocení	hod-n-oc-en-í
znehodnocení	z-ne-hod-n-oc-en-í
zhodnocení	z-hod-n-oc-en-í
pocení	poc-en-í
znechucení	z-ne-chuc-en-í
nuceni	nuc-en-i
stlačení	s-tlač-en-í
označení	o-znač-en-í
naobtáčení	na-ob-táč-e-n-í
přesvědčení	pře-s-věd-č-en-í
osvědčení	o-svěd-č-en-í
vysvědčení	vy-s-věd-č-en-í
oblečení	ob-leč-en-í
sebeléčení	seb-e-léč-en-í
mečení	meč-e-n-í
zabezpečení	za-bezpeč-en-í
zasečení	za-seč-en-í
líčení	líč-en-í
kničení	knič-e-n-í
cvičení	cvič-en-í
vycvičeni	vy-cvič-en-i
mlčení	mlč-e-n-í
dokončení	do-konč-en-í
skončení	s-konč-en-í
ukončení	u-konč-en-í
tlumočení	tlumoč-en-í
stočení	s-toč-en-í
určení	u-rč-en-í
zavrčení	za-vrč-e-n-í
nařčení	na-řč-en-í
zatčení	za-tč-en-í
učení	uč-en-í
naučení	na-uč-en-í
kňučení	kňuč-e-n-í
vyloučeni	vy-louč-en-i
vyloučení	vy-louč-en-í
rozloučení	roz-louč-en-í
poučení	po-uč-en-í
doručení	do-ruč-en-í
doporučení	do-po-ruč-en-í
vyučení	vy-uč-en-í
bzučení	bzuč-e-n-í
dění	dě-n-í
ladění	lad-ěn-í
napadení	na-pad-en-í
přepadení	pře-pad-en-í
dopadení	do-pad-en-í
ukradení	u-krad-en-í
zavádění	za-vád-ě-n-í
podvádění	pod-vád-ě-n-í
uvádění	u-vád-ě-n-í
soustředění	sou-střed-ěn-í
vedení	ved-en-í
vědění	věd-ě-n-í
zavedení	za-ved-en-í
převedení	pře-ved-en-í
provedení	pro-ved-en-í
uvedení	u-ved-en-í
roztřídění	roz-tříd-ěn-í
vidění	vid-ě-n-í
makrovidění	makro-vid-ě-n-í
probodeni	pro-bod-en-i
vloudění	v-loud-ěn-í
naproudění	na-proud-ě-n-í
shromáždění	s-hromážd-ěn-í
podráždění	po-drážd-ěn-í
zavraždění	za-vražd-ěn-í
zajíždění	za-jížd-ě-n-í
zahájení	za-háj-en-í
spokojeni	s-po-koj-en-i
uspokojení	u-s-po-koj-en-í
neuspokojení	ne-u-s-po-koj-en-í
připojení	při-poj-en-í
propojení	pro-poj-en-í
spojení	s-poj-en-í
zdvojení	z-dv-oj-en-í
balení	bal-en-í
sbalení	s-bal-en-í
oddálení	od-dál-en-í
vzdáleni	vz-dál-en-i
odhalení	od-hal-en-í
sebezdokonalení	seb-e-z-do-kon-a-l-en-í
chválení	chvál-en-í
pochváleni	po-chvál-en-i
schválení	s-chvál-en-í
člení	člen-í
žbrdlení	žbrdl-en-í
bydlení	bydl-e-n-í
dělení	děl-en-í
oddělení	od-děl-en-í
pododdělení	pod-od-děl-en-í
fotooddělení	fot-o-od-děl-en-í
sdělení	s-děl-en-í
udělení	u-děl-en-í
rozdělení	roz-děl-en-í
jelení	jelen-í
rozčilení	roz-čil-en-í
posílení	po-síl-en-í
šíleni	šíl-en-i
bolení	bol-e-n-í
školení	škol-en-í
zaškolení	za-škol-en-í
přeškolení	pře-škol-en-í
vyškolení	vy-škol-en-í
povolení	po-vol-en-í
oteplení	o-tepl-en-í
brlení	brlen-í
žbrlení	žbrlen-í
šprlení	šprlen-í
myšlení	myšl-e-n-í
přemýšlení	pře-mýšl-e-n-í
osvětlení	o-svět-l-en-í
vysvětlení	vy-svět-l-en-í
rozuzlení	roz-uzl-en-í
mění	měn-í
kamení	kamen-í
znamení	znam-en-í
seznámeni	se-znám-en-i
oznámení	o-znám-en-í
rameni	ram-en-i
osamění	o-sam-ě-n-í
nemění	ne-měn-í
přemění	pře-měn-í
jmění	jm-ě-n-í
džentlmeni	džentlmen-i
arméni	armén-i
umění	um-ě-n-í
dorozumění	do-roz-um-ě-n-í
porozumění	po-roz-um-ě-n-í
srozuměni	s-roz-um-ě-n-i
změní	z-měn-í
není	ne-ní
zdanění	z-dan-ěn-í
poranění	po-ran-ěn-í
odstranění	od-stran-ěn-í
zranění	z-ran-ěn-í
onemocnění	o-ne-moc-n-ě-n-í
uskutečnění	u-skuteč-n-ěn-í
zvýhodněni	z-vý-hod-n-ěn-i
zvýhodnění	z-vý-hod-n-ěn-í
odškodnění	od-škod-n-ěn-í
samooplodnění	sam-o-o-plod-n-ě-n-í
ocenění	o-cen-ěn-í
ozelenění	o-zelen-ě-n-í
přičinění	při-čin-ěn-í
proslinění	pro-s-lin-ě-n-í
mínění	mín-ěn-í
obvinění	ob-vin-ěn-í
uveřejnění	u-veřej-n-ěn-í
zveřejnění	z-veřej-n-ě-n-í
uvolnění	u-vol-n-ěn-í
plnění	pln-ěn-í
doplnění	do-pln-ěn-í
splnění	s-pln-ěn-í
vyplnění	vy-pln-ěn-í
zapomnění	za-po-mn-ě-n-í
nakloněni	na-klon-ěn-i
vrnění	vrn-ě-n-í
zpřesnění	z-přesn-ěn-í
uplatnění	u-plat-n-ěn-í
oprávnění	o-práv-n-ěn-í
upevnění	u-pevn-ěn-í
znění	zn-ě-n-í
zvýraznění	z-vý-raz-n-ěn-í
trápení	tráp-en-í
zatrápení	za-tráp-en-í
překvapení	pře-kvap-en-í
pochopení	po-chop-en-í
kuropění	kur-o-pě-n-í
utrpení	u-trp-e-n-í
seskupení	se-s-kup-en-í
zakoupení	za-koup-en-í
vykoupení	vy-koup-en-í
uloupení	u-loup-en-í
zastoupení	za-stoup-en-í
nanebevstoupení	na-neb-e-v-stoup-en-í
vystoupení	vy-stoup-en-í
supění	sup-ě-n-í
hospodaření	hospod-ař-en-í
páření	pář-en-í
utváření	u-tvář-en-í
vytváření	vy-tvář-e-n-í
záření	zář-en-í
vyjádření	vy-jádř-en-í
měření	měř-en-í
zaměření	za-měř-en-í
věření	věř-en-í
pověřeni	po-věř-en-i
usmíření	u-s-míř-en-í
šíření	šíř-en-í
rozšíření	roz-šíř-en-í
vyhoření	vy-hoř-e-n-í
ponoření	po-noř-en-í
tvoření	tvoř-en-í
stvoření	s-tvoř-en-í
utvoření	u-tvoř-en-í
vytvoření	vy-tvoř-en-í
sebezapření	seb-e-za-př-e-n-í
opatření	o-patř-en-í
protiopatření	proti-o-patř-en-í
šetření	šetř-en-í
ošetření	o-šetř-en-í
vyšetření	vy-šetř-en-í
uzavření	u-za-vř-e-n-í
otevření	ote-vř-e-n-í
podezření	pode-zř-e-n-í
jasnozření	jasn-o-zř-e-n-í
zatarasení	za-taras-en-í
přeneseni	pře-nes-en-i
usnesení	u-s-nes-en-í
zemětřesení	zem-ě-třes-en-í
zahašení	za-haš-en-í
hlášeni	hláš-en-i
prohlášení	pro-hláš-en-í
vyhlášení	vy-hláš-en-í
vynášení	vy-náš-e-n-í
cizosprášení	ciz-o-s-práš-en-í
nadšení	na-dš-en-í
zděšeni	z-děš-en-i
lešení	lešen-í
řešení	řeš-en-í
vyřešení	vy-řeš-en-í
rozřešení	roz-řeš-en-í
těšení	těš-en-í
potěšení	po-těš-en-í
zavěšení	za-věš-en-í
lišení	liš-en-í
rozlišení	roz-liš-en-í
smíšení	s-míš-en-í
zmenšení	z-men-š-en-í
zlepšení	z-lep-š-en-í
zvětšení	z-vět-š-en-í
zjednodušení	z-jedn-o-duš-en-í
zakoušení	za-kouš-e-n-í
vyzkoušení	vy-z-kouš-e-n-í
rušení	ruš-en-í
přerušení	pře-ruš-en-í
porušení	po-ruš-en-í
zrušení	z-ruš-en-í
tušení	tuš-en-í
zvýšení	z-výš-en-í
čtení	čt-en-í
odečtení	ode-čt-en-í
přečtení	pře-čt-en-í
hnětení	hnět-en-í
chtění	cht-ě-n-í
umístění	u-míst-ěn-í
znovuumístění	z-nov-u-u-míst-ěn-í
vymístění	vy-míst-ěn-í
maštění	mašt-ěn-í
znečištění	z-ne-čišt-ěn-í
zajištění	za-jišt-ěn-í
pojištění	po-jišt-ěn-í
připojištění	při-po-jišt-ěn-í
autopojištění	aut-o-po-jišt-ěn-í
zjištění	z-jišt-ěn-í
pištění	pišt-ě-n-í
vytištění	vy-tišt-ěn-í
zproštěni	z-prošt-ěn-i
rozluštění	roz-lušt-ěn-í
propouštění	pro-poušt-ě-n-í
odpuštění	od-pušt-ěn-í
propuštění	pro-pušt-ěn-í
vybaveni	vy-bav-en-i
vybavení	vy-bav-en-í
radiovybavení	radi-o-vy-bav-en-í
přetmavení	pře-tmav-en-í
unaveni	u-nav-en-i
unavení	u-nav-en-í
uzdravení	u-zdrav-en-í
připraveni	při-prav-en-i
